,elevation,relh,drct,sknt,alti,vsby,temp_c,dewpoint_c,feel_c,is_hot_day
80,74,38.74,10.0,13.0,30.0,6.21,25.0,10.0,25.0,0
81,74,36.22,360.0,12.0,29.88,6.21,25.0,9.0,25.0,0
82,74,25.79,300.0,7.0,29.91,3.73,32.0,10.0,30.38888889,0
83,74,31.62,320.0,7.0,29.97,6.21,25.0,7.0,24.38333333,0
84,74,43.42,310.0,10.0,29.97,6.21,22.0,9.0,21.38888889,0
85,74,53.03,320.0,9.0,29.91,6.21,22.0,12.0,22.0,0
86,74,26.22,230.0,11.0,29.91,6.21,27.0,6.0,26.27777778,0
87,74,41.14,260.0,6.0,30.03,6.21,24.0,10.0,24.0,0
88,74,38.18,20.0,6.0,30.12,6.21,23.0,8.0,22.35,0
89,74,22.28,360.0,8.0,30.09,6.21,25.0,2.0,24.13888889,0
90,74,22.02,330.0,9.0,30.03,6.21,30.0,6.0,28.30555556,0
91,74,12.73,40.0,9.0,29.94,6.21,36.0,3.0,33.35555556,0
92,74,23.3,330.0,11.0,29.91,3.73,35.0,11.0,33.47777778,0
93,74,34.69,360.0,12.0,30.0,6.21,28.0,11.0,27.33333333,0
94,74,36.51,10.0,8.0,29.97,6.21,26.0,10.0,26.0,0
95,74,34.41,20.0,7.0,29.88,6.21,27.0,10.0,27.0,0
96,74,41.14,310.0,5.0,29.91,6.21,24.0,10.0,24.0,0
97,74,40.85,350.0,7.0,30.0,6.21,23.0,9.0,22.42222222,0
98,74,29.51,340.0,5.0,30.03,6.21,25.0,6.0,24.32777778,0
99,74,14.44,220.0,14.0,29.8,3.73,35.0,4.0,32.53888889,0
100,74,13.05,230.0,25.0,29.62,1.24,33.0,1.0,30.62777778,0
101,74,38.46,310.0,9.0,29.88,6.21,24.0,9.0,24.0,0
102,74,38.46,360.0,4.0,29.97,6.21,24.0,9.0,24.0,0
103,74,26.22,50.0,6.0,29.94,6.21,27.0,6.0,26.27777778,0
104,74,23.33,50.0,12.0,29.85,6.21,29.0,6.0,27.56111111,0
105,74,34.97,10.0,7.0,29.88,6.21,29.0,12.0,28.2,0
106,74,23.59,340.0,8.0,29.91,6.21,30.0,7.0,28.37222222,0
107,74,14.44,360.0,8.0,29.94,3.73,35.0,4.0,32.53888889,0
108,74,15.93,340.0,7.0,29.88,6.21,37.0,7.0,34.75,1
109,74,24.63,10.0,6.0,29.83,2.49,34.0,11.0,32.47222222,0
110,74,27.81,290.0,8.0,29.85,6.21,26.0,6.0,25.38333333,0
111,74,38.74,290.0,10.0,29.94,6.21,25.0,10.0,25.0,0
112,74,41.42,10.0,5.0,30.06,3.73,25.0,11.0,25.0,0
113,74,23.07,20.0,11.0,29.97,6.21,28.0,5.0,26.82777778,0
114,74,23.59,10.0,9.0,29.88,6.21,30.0,7.0,28.37222222,0
115,74,20.79,20.0,6.0,29.88,6.21,31.0,6.0,29.11111111,0
116,74,20.13,300.0,9.0,29.83,3.73,34.0,8.0,31.97222222,0
117,74,41.69,10.0,6.0,29.97,6.21,26.0,12.0,26.0,0
118,74,39.02,320.0,6.0,29.91,6.21,26.0,11.0,26.0,0
119,74,34.41,290.0,10.0,29.88,6.21,27.0,10.0,27.0,0
120,74,34.13,270.0,10.0,29.88,6.21,26.0,9.0,26.0,0
121,74,34.41,340.0,7.0,29.94,6.21,27.0,10.0,27.0,0
122,74,32.46,70.0,3.0,29.94,6.21,28.0,10.0,27.21666667,0
123,74,25.26,10.0,8.0,29.85,6.21,30.0,8.0,28.45555556,0
124,74,18.33,40.0,8.0,29.83,6.21,32.0,5.0,29.9,0
125,74,19.89,350.0,6.0,29.8,6.21,33.0,7.0,30.93333333,0
126,74,11.86,350.0,6.0,29.77,6.21,36.0,2.0,33.17777778,0
127,74,22.04,330.0,6.0,29.8,3.73,36.0,11.0,34.51111111,0
128,74,11.55,220.0,14.0,29.65,3.73,43.0,7.0,40.43333333,1
129,74,45.88,280.0,12.0,29.71,6.21,31.0,18.0,31.85,0
130,74,35.25,300.0,10.0,29.77,6.21,30.0,13.0,29.18888889,0
131,74,33.29,320.0,6.0,29.85,6.21,31.0,13.0,30.06111111,0
132,74,22.78,10.0,4.0,29.88,6.21,33.0,9.0,31.16111111,0
133,74,22.29,310.0,5.0,29.85,6.21,37.0,12.0,35.83888889,1
134,74,15.93,20.0,12.0,29.85,6.21,37.0,7.0,34.75,1
135,74,15.73,330.0,6.0,29.85,3.73,41.0,10.0,39.43333333,1
136,74,38.18,360.0,14.0,29.94,6.21,32.0,16.0,32.0,0
137,74,44.8,320.0,11.0,29.97,6.21,27.0,14.0,27.11666667,0
138,74,34.69,320.0,9.0,29.97,6.21,28.0,11.0,27.33333333,0
139,74,39.3,330.0,6.0,29.97,3.73,27.0,12.0,27.0,0
140,74,23.85,50.0,12.0,29.88,6.21,31.0,8.0,29.26666667,0
141,74,37.9,300.0,11.0,29.83,6.21,31.0,15.0,31.0,0
142,74,36.79,340.0,10.0,29.97,6.21,27.0,11.0,27.0,0
143,74,39.58,360.0,6.0,29.97,6.21,28.0,13.0,28.0,0
144,74,25.52,60.0,12.0,29.88,6.21,31.0,9.0,29.37222222,0
145,74,20.38,30.0,13.0,29.8,6.21,35.0,9.0,33.08888889,0
146,74,27.56,250.0,16.0,29.8,1.24,32.0,11.0,30.55555556,0
147,74,35.53,310.0,9.0,29.88,6.21,31.0,14.0,30.32222222,0
148,74,31.72,330.0,9.0,29.91,6.21,33.0,14.0,32.25555556,0
149,74,28.37,20.0,5.0,29.85,6.21,35.0,14.0,34.34444444,0
150,74,23.55,40.0,8.0,29.8,6.21,36.0,12.0,34.77222222,0
151,74,13.75,220.0,16.0,29.68,3.73,41.0,8.0,38.87222222,1
152,74,26.84,270.0,13.0,29.74,0.93,36.0,14.0,35.42777778,0
153,74,31.72,270.0,7.0,29.85,6.21,33.0,14.0,32.25555556,0
154,74,35.81,350.0,10.0,29.91,6.21,32.0,15.0,32.0,0
155,74,31.72,360.0,12.0,29.88,6.21,33.0,14.0,32.25555556,0
156,74,21.11,40.0,9.0,29.83,6.21,38.0,12.0,36.91111111,1
157,74,39.0,330.0,8.0,29.8,6.21,35.0,19.0,36.92222222,0
158,74,42.8,320.0,8.0,29.85,6.21,30.0,16.0,30.02777778,0
159,74,31.45,290.0,9.0,29.88,6.21,32.0,13.0,30.98888889,0
160,74,28.37,350.0,5.0,29.77,6.21,35.0,14.0,34.34444444,0
161,74,43.34,320.0,12.0,29.74,6.21,32.0,18.0,32.90555556,0
162,74,43.34,290.0,5.0,29.77,6.21,32.0,18.0,32.90555556,0
163,74,36.35,330.0,4.0,29.83,6.21,34.0,17.0,34.0,0
164,74,38.45,320.0,10.0,29.85,6.21,33.0,17.0,33.0,0
165,74,32.27,340.0,10.0,29.83,6.21,35.0,16.0,35.0,0
166,74,31.07,320.0,9.0,29.77,6.21,38.0,18.0,39.81111111,1
167,74,25.93,350.0,11.0,29.71,6.21,39.0,16.0,39.76111111,1
168,74,17.74,290.0,10.0,29.71,6.21,40.0,11.0,38.71666667,1
169,74,28.9,280.0,10.0,29.68,6.21,37.0,16.0,37.0,1
170,74,13.64,210.0,13.0,29.59,6.21,45.0,11.0,43.77222222,1
171,74,19.66,360.0,4.0,29.77,6.21,43.0,15.0,43.74444444,1
172,74,24.61,310.0,10.0,29.83,6.21,37.0,13.5,36.58055556,1
173,74,24.06,330.0,8.0,29.77,6.21,38.0,14.0,38.0,1
174,74,36.08,300.0,7.0,29.8,6.21,33.0,16.0,33.0,0
175,74,35.53,300.0,11.0,29.83,6.21,31.0,14.0,30.32222222,0
176,74,43.07,330.0,5.0,29.85,6.21,31.0,17.0,31.37777778,0
177,74,31.72,340.0,6.0,29.85,3.73,33.0,14.0,32.25555556,0
178,74,25.41,20.0,8.0,29.8,6.21,37.0,14.0,37.0,1
179,74,41.5,300.0,10.0,29.77,3.73,35.0,20.0,37.67777778,0
180,74,43.34,320.0,9.0,29.83,6.21,32.0,18.0,32.90555556,0
181,74,31.72,340.0,10.0,29.83,6.21,33.0,14.0,32.25555556,0
182,74,40.69,10.0,9.0,29.8,3.73,32.0,17.0,32.4,0
183,74,29.99,340.0,10.0,29.74,6.21,34.0,14.0,33.28333333,0
184,74,32.27,350.0,10.0,29.77,6.21,35.0,16.0,35.0,0
185,74,28.37,320.0,10.0,29.77,6.21,35.0,14.0,34.34444444,0
186,74,31.99,320.0,5.0,29.8,6.21,34.0,15.0,34.0,0
187,74,30.26,300.0,7.0,29.8,6.21,35.0,15.0,35.0,0
188,74,36.35,340.0,10.0,29.83,6.21,34.0,17.0,34.0,0
189,74,38.73,10.0,11.0,29.83,3.73,34.0,18.0,35.11111111,0
190,74,43.61,350.0,10.0,29.83,6.21,33.0,19.0,34.60555556,0
191,74,40.96,340.0,9.0,29.85,6.21,33.0,18.0,33.99444444,0
192,74,41.23,20.0,13.0,29.8,6.21,34.0,19.0,35.75,0
193,74,39.0,360.0,12.0,29.74,6.21,35.0,19.0,36.92222222,0
194,74,36.63,350.0,13.0,29.71,6.21,35.0,18.0,36.25555556,0
195,74,36.63,300.0,10.0,29.68,6.21,35.0,18.0,36.25555556,0
196,74,36.9,290.0,8.0,29.74,6.21,36.0,19.0,38.11111111,0
197,74,30.8,300.0,6.0,29.8,6.21,37.0,17.0,37.98888889,1
198,74,41.5,320.0,4.0,29.8,3.73,35.0,20.0,37.67777778,0
199,74,34.39,300.0,9.0,29.8,6.21,35.0,17.0,35.67777778,0
200,74,32.27,290.0,8.0,29.8,6.21,35.0,16.0,35.0,0
201,74,32.27,310.0,11.0,29.77,6.21,35.0,16.0,35.0,0
202,74,43.88,310.0,10.0,29.71,6.21,34.0,20.0,36.48333333,0
203,74,41.5,280.0,9.0,29.68,6.21,35.0,20.0,37.67777778,0
204,74,39.27,280.0,9.0,29.62,6.21,36.0,20.0,38.89444444,0
205,74,25.15,300.0,9.0,29.65,6.21,36.0,13.0,35.07777778,0
206,74,14.92,20.0,5.0,29.71,6.21,42.0,10.0,40.44444444,1
207,74,25.93,30.0,10.0,29.85,6.21,39.0,16.0,39.76111111,1
208,74,43.61,350.0,10.0,29.83,6.21,33.0,19.0,34.60555556,0
209,74,31.99,340.0,9.0,29.68,6.21,34.0,15.0,34.0,0
210,74,39.0,330.0,9.0,29.68,6.21,35.0,19.0,36.92222222,0
211,74,34.66,10.0,11.0,29.74,6.21,36.0,18.0,37.42777778,0
212,74,36.9,300.0,8.0,29.74,6.21,36.0,19.0,38.11111111,0
213,74,39.27,290.0,8.0,29.71,6.21,36.0,20.0,38.89444444,0
214,74,27.1,290.0,9.0,29.65,6.21,37.0,15.0,37.0,1
215,74,27.1,290.0,7.0,29.65,6.21,37.0,15.0,37.0,1
216,74,13.95,10.0,3.0,29.65,6.21,42.0,9.0,40.12777778,1
217,74,22.79,290.0,3.0,29.77,6.21,39.0,14.0,39.0,1
218,74,33.08,10.0,10.0,29.85,6.21,38.0,19.0,40.54444444,1
219,74,34.39,350.0,9.0,29.77,6.21,35.0,17.0,35.67777778,0
220,74,46.67,340.0,8.0,29.77,6.21,34.0,21.0,37.31666667,0
221,74,36.63,335.0,9.0,29.74,6.21,35.0,18.0,36.25555556,0
222,74,36.9,340.0,10.0,29.77,6.21,36.0,19.0,38.11111111,0
223,74,36.63,310.0,7.0,29.83,6.21,35.0,18.0,36.25555556,0
224,74,44.14,350.0,7.0,29.83,3.73,35.0,21.0,38.53888889,0
225,74,44.41,360.0,8.0,29.77,6.21,36.0,22.0,40.77777778,0
226,74,29.43,330.0,11.0,29.74,6.21,39.0,18.0,41.02222222,1
227,74,33.08,320.0,6.0,29.71,3.73,38.0,19.0,40.54444444,1
228,74,37.44,360.0,8.0,29.74,6.21,38.0,21.0,42.29444444,1
229,74,31.07,350.0,8.0,29.68,6.21,38.0,18.0,39.81111111,1
230,74,27.63,10.0,11.0,29.71,6.21,39.0,17.0,40.35,1
231,74,33.08,330.0,8.0,29.77,6.21,38.0,19.0,40.54444444,1
232,74,29.17,310.0,11.0,29.74,6.21,38.0,17.0,39.16666667,1
233,74,39.54,300.0,7.0,29.62,6.21,37.0,21.0,41.02777778,1
234,74,39.54,330.0,4.0,29.65,6.21,37.0,21.0,41.02777778,1
235,74,44.41,340.0,7.0,29.74,6.21,36.0,22.0,40.77777778,0
236,74,34.39,320.0,8.0,29.74,6.21,35.0,17.0,35.67777778,0
237,74,41.5,330.0,6.0,29.68,6.21,35.0,20.0,37.67777778,0
238,74,34.93,340.0,7.0,29.68,3.73,37.0,19.0,39.32222222,1
239,74,25.67,310.0,8.0,29.74,6.21,38.0,15.0,38.0,1
240,74,23.81,330.0,9.0,29.8,6.21,37.0,13.0,36.16111111,1
241,74,30.53,10.0,6.0,29.77,6.21,36.0,16.0,36.0,0
242,74,30.53,340.0,9.0,29.71,6.21,36.0,16.0,36.0,0
243,74,38.73,290.0,10.0,29.77,6.21,34.0,18.0,35.11111111,0
244,74,31.99,310.0,10.0,29.85,6.21,34.0,15.0,34.0,0
245,74,31.72,350.0,7.0,29.91,6.21,33.0,14.0,32.25555556,0
246,74,33.84,10.0,8.0,29.83,6.21,33.0,15.0,33.0,0
247,74,33.84,360.0,9.0,29.8,6.21,33.0,15.0,33.0,0
248,74,25.41,360.0,9.0,29.8,6.21,37.0,14.0,37.0,1
249,74,30.53,350.0,7.0,29.83,6.21,36.0,16.0,36.0,0
250,74,36.35,10.0,5.0,29.88,6.21,34.0,17.0,34.0,0
251,74,33.84,350.0,7.0,29.83,6.21,33.0,15.0,33.0,0
252,74,33.84,340.0,9.0,29.74,6.21,33.0,15.0,33.0,0
253,74,31.99,340.0,10.0,29.8,6.21,34.0,15.0,34.0,0
254,74,30.26,10.0,11.0,29.85,6.21,35.0,15.0,35.0,0
255,74,36.08,350.0,8.0,29.88,6.21,33.0,16.0,33.0,0
256,74,33.56,330.0,6.0,29.85,6.21,32.0,14.0,31.26666667,0
257,74,35.53,340.0,7.0,29.88,6.21,31.0,14.0,30.32222222,0
258,74,28.37,360.0,6.0,29.91,3.73,35.0,14.0,34.34444444,0
259,74,40.41,340.0,10.0,29.91,6.21,31.0,16.0,30.97222222,0
260,74,40.41,350.0,8.0,29.83,6.21,31.0,16.0,30.97222222,0
261,74,34.11,350.0,10.0,29.74,6.21,34.0,16.0,34.0,0
262,74,36.35,320.0,9.0,29.74,6.21,34.0,17.0,34.0,0
263,74,34.11,320.0,7.0,29.8,3.73,34.0,16.0,34.0,0
264,74,38.45,280.0,6.0,29.83,3.73,33.0,17.0,33.0,0
265,74,34.11,40.0,6.0,29.85,6.21,34.0,16.0,34.0,0
266,74,43.61,30.0,8.0,29.83,6.21,33.0,19.0,34.60555556,0
267,74,26.31,30.0,11.0,29.88,6.21,34.0,12.0,32.7,0
